Event_ID,Event
1,Rowing Men's Coxless Pairs
2,Taekwondo Women's Flyweight
3,Handball Men's Handball
4,"Wrestling Men's Middleweight, Greco-Roman"
5,Gymnastics Men's Team All-Around
6,Gymnastics Men's Horse Vault
7,Gymnastics Men's Rings
8,Swimming Men's 4 x 100 metres Freestyle Relay
9,Basketball Men's Basketball
10,Taekwondo Men's Featherweight
11,Rowing Women's Quadruple Sculls
12,Boxing Women's Flyweight
13,Volleyball Women's Volleyball
14,Athletics Women's Shot Put
15,Swimming Men's 50 metres Freestyle
16,Swimming Men's 100 metres Freestyle
17,Swimming Men's 4 x 100 metres Freestyle Relay
18,Swimming Men's 4 x 100 metres Medley Relay
19,Rugby Sevens Men's Rugby Sevens
20,Rugby Sevens Men's Rugby Sevens
21,Judo Women's Half-Middleweight
22,Rhythmic Gymnastics Women's Group
23,Weightlifting Women's Flyweight
24,"Equestrianism Mixed Jumping, Team"
25,Badminton Mixed Doubles
