Name,NOC,Sport,Event,Medal
Giovanni Abagnale,ITA,Rowing,Rowing Men's Coxless Pairs,Bronze
Patimat Abakarova,AZE,Taekwondo,Taekwondo Women's Flyweight,Bronze
Luc Abalo,FRA,Handball,Handball Men's Handball,Silver
Saeid Morad Abdevali,IRI,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze
Denis Mikhaylovich Ablyazin,RUS,Gymnastics,Gymnastics Men's Team All-Around,Silver
Denis Mikhaylovich Ablyazin,RUS,Gymnastics,Gymnastics Men's Horse Vault,Silver
Denis Mikhaylovich Ablyazin,RUS,Gymnastics,Gymnastics Men's Rings,Bronze
"Matthew ""Matt"" Abood",AUS,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
"Alejandro ""lex"" Abrines Redondo",ESP,Basketball,Basketball Men's Basketball,Bronze
Ahmad Abughaush,JOR,Taekwondo,Taekwondo Men's Featherweight,Gold
Chantal Achterberg,NED,Rowing,Rowing Women's Quadruple Sculls,Silver
Nicola Virginia Adams,GBR,Boxing,Boxing Women's Flyweight,Gold
Rachael Alexis Adams,USA,Volleyball,Volleyball Women's Volleyball,Bronze
Valerie Kasanita Adams-Vili (-Price),NZL,Athletics,Athletics Women's Shot Put,Silver
Nathan Ghar-Jun Adrian,USA,Swimming,Swimming Men's 50 metres Freestyle,Bronze
Nathan Ghar-Jun Adrian,USA,Swimming,Swimming Men's 100 metres Freestyle,Bronze
Nathan Ghar-Jun Adrian,USA,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
Nathan Ghar-Jun Adrian,USA,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
Cecil Sebastian Afrika,RSA,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Bronze
"Timothy Ernest Victor Kwizera ""Tim"" Agaba",RSA,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Bronze
Clarisse Agbegnenou,FRA,Judo,Judo Women's Half-Middleweight,Silver
Sandra Aguilar Navarro,ESP,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver
Sri Wahyuni Agustiani,INA,Weightlifting,Weightlifting Women's Flyweight,Silver
Christian Ahlmann,GER,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
Tontowi Ahmad,INA,Badminton,Badminton Mixed Doubles,Gold
Matteo Aicardi,ITA,Water Polo,Water Polo Men's Water Polo,Bronze
Rosaria Aiello,ITA,Water Polo,Water Polo Women's Water Polo,Silver
